,Classification,Discipline,Position,query_text,MatchedUniclassTitle,MatchedUniclassCode,BiEncScore,CrossEncScore,Alternates_CE_Top3,IsConfident
2,Acradis PAA Salary,Design Management,Design Manager - North,Classification: Acradis PAA Salary | Discipline: Design Management | Position: Design Manager - North,Design manager,Ro_50_10_22,0.5543,-3.6704,"[{'title': 'Design roles', 'code': 'Ro_50', 'ce_score': -6.777615547180176}, {'title': 'Building design roles', 'code': 'Ro_50_10', 'ce_score': -7.7109551429748535}]",False
200,Jacobs PAA Salary,Pavements,Pavement IV,Classification: Jacobs PAA Salary | Discipline: Pavements | Position: Pavement IV,Traffic engineer,Ro_50_20_90,0.4192,-8.225,"[{'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'ce_score': -8.804530143737793}, {'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'ce_score': -8.844664573669434}]",False
201,Jacobs PAA Salary,Drainage,Project Engineer,Classification: Jacobs PAA Salary | Discipline: Drainage | Position: Project Engineer,Drainage engineer,Ro_50_20_28,0.5839,-3.0288,"[{'title': 'Water services engineer', 'code': 'Ro_50_20_96', 'ce_score': -7.386338233947754}, {'title': 'Construction manager', 'code': 'Ro_70_65_15', 'ce_score': -7.904253959655762}]",False
202,Jacobs PAA Salary,Drainage,Drainage & Flooding Lead,Classification: Jacobs PAA Salary | Discipline: Drainage | Position: Drainage & Flooding Lead,Drainage engineer,Ro_50_20_28,0.5413,-4.3935,"[{'title': 'Flood and coastal risk management officer', 'code': 'Ro_30_30_29', 'ce_score': -6.444390296936035}, {'title': 'Water services engineer', 'code': 'Ro_50_20_96', 'ce_score': -7.9149370193481445}]",False
203,Jacobs PAA Salary,Sustainability,Sustainability Lead,Classification: Jacobs PAA Salary | Discipline: Sustainability | Position: Sustainability Lead,Sustainability consultant,Ro_70_30_85,0.5405,-5.2815,"[{'title': 'Sustainability assessor', 'code': 'Ro_70_30_84', 'ce_score': -5.460850715637207}, {'title': 'Environmental officer', 'code': 'Ro_30_30_26', 'ce_score': -7.040692329406738}]",False
204,Experienced engineer 3,Sustainability,Climate Risk & Resilience,Classification: Experienced engineer 3 | Discipline: Sustainability | Position: Climate Risk & Resilience,Sustainability consultant,Ro_70_30_85,0.55,-5.2113,"[{'title': 'Sustainability assessor', 'code': 'Ro_70_30_84', 'ce_score': -5.291901588439941}, {'title': 'Reliability engineer', 'code': 'Ro_50_20_72', 'ce_score': -5.525120735168457}]",False
205,Jacobs PAA Salary,Sustainability,Sustainability Consultant,Classification: Jacobs PAA Salary | Discipline: Sustainability | Position: Sustainability Consultant,Sustainability consultant,Ro_70_30_85,0.6102,-1.6473,"[{'title': 'Environmental consultant', 'code': 'Ro_70_30_28', 'ce_score': -3.927340030670166}, {'title': 'Sustainability assessor', 'code': 'Ro_70_30_84', 'ce_score': -4.319920063018799}]",False
206,Jacobs PAA Salary,Geotechnical,Geotech: Interpretive sections & Plans,Classification: Jacobs PAA Salary | Discipline: Geotechnical | Position: Geotech: Interpretive sections & Plans,Geotechnical engineer,Ro_50_20_37,0.6494,-4.7262,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'ce_score': -5.440868854522705}, {'title': 'Architectural technologist', 'code': 'Ro_50_10_05', 'ce_score': -7.82876443862915}]",False
207,Jacobs PAA Salary,Geotechnical,Geotechnical Engineer,Classification: Jacobs PAA Salary | Discipline: Geotechnical | Position: Geotechnical Engineer,Geotechnical engineer,Ro_50_20_37,0.6633,-1.4032,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'ce_score': -3.33477783203125}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -5.825456142425537}]",False
208,Jacobs PAA Salary,Geotechnical,Geotech Design Lead,Classification: Jacobs PAA Salary | Discipline: Geotechnical | Position: Geotech Design Lead,Geotechnical engineer,Ro_50_20_37,0.6605,-3.1283,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'ce_score': -4.370305061340332}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -7.06125545501709}]",False
209,Jacobs PAA Salary,Geotechnical,Geotechnical Design Engineer,Classification: Jacobs PAA Salary | Discipline: Geotechnical | Position: Geotechnical Design Engineer,Geotechnical engineer,Ro_50_20_37,0.6839,-1.7233,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'ce_score': -3.542182207107544}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -5.93998384475708}]",False
210,Jacobs PAA Salary,Road Civil,Roads CAD,Classification: Jacobs PAA Salary | Discipline: Road Civil | Position: Roads CAD,Highways engineer,Ro_50_20_41,0.464,-8.8976,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -9.39906120300293}, {'title': 'Highways operative', 'code': 'Ro_70_70_37', 'ce_score': -9.76392650604248}]",False
211,Experienced engineer 3,Road Civil,Road Safety Auditor,Classification: Experienced engineer 3 | Discipline: Road Civil | Position: Road Safety Auditor,Civil engineer,Ro_50_20_11,0.5835,-3.6384,"[{'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'ce_score': -4.603385925292969}, {'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -4.615448951721191}]",False
212,Jacobs PAA Salary,Utilities,Utiltiy Lead North,Classification: Jacobs PAA Salary | Discipline: Utilities | Position: Utiltiy Lead North,Utilities surveyor,Ro_70_10_93,0.437,-8.2225,"[{'title': 'Electrician', 'code': 'Ro_70_60_27', 'ce_score': -10.34924030303955}, {'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'ce_score': -10.493524551391602}]",False
213,Experienced engineer 1,Cut &amp; Covers,Cut & Cover Engineer,Classification: Experienced engineer 1 | Discipline: Cut &amp; Covers | Position: Cut & Cover Engineer,Electronics engineer,Ro_50_20_31,0.5326,-6.3455,"[{'title': 'Civil engineer', 'code': 'Ro_50_20_11', 'ce_score': -7.127193450927734}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -7.169858932495117}]",False
214,Jacobs PAA Salary,Flooding,Flood Modelling Lead,Classification: Jacobs PAA Salary | Discipline: Flooding | Position: Flood Modelling Lead,Flood and coastal risk management officer,Ro_30_30_29,0.5661,-4.9451,"[{'title': 'Drainage engineer', 'code': 'Ro_50_20_28', 'ce_score': -6.988434791564941}, {'title': 'Water services engineer', 'code': 'Ro_50_20_96', 'ce_score': -8.108270645141602}]",False
215,Jacobs PAA Salary,Drainage,Surface Drainage Engineer,Classification: Jacobs PAA Salary | Discipline: Drainage | Position: Surface Drainage Engineer,Drainage engineer,Ro_50_20_28,0.6823,-2.303,"[{'title': 'Water services engineer', 'code': 'Ro_50_20_96', 'ce_score': -7.127187728881836}, {'title': 'Geotechnical engineer', 'code': 'Ro_50_20_37', 'ce_score': -7.80313777923584}]",False
216,Jacobs PAA Salary,Design Management,Civil Spaceproofing Inputs,Classification: Jacobs PAA Salary | Discipline: Design Management | Position: Civil Spaceproofing Inputs,Civil engineer,Ro_50_20_11,0.4794,-8.3144,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -9.55344009399414}, {'title': 'Construction manager', 'code': 'Ro_70_65_15', 'ce_score': -9.665155410766602}]",False
217,Acradis PAA Salary,Project Management,ALT - Back Up,Classification: Acradis PAA Salary | Discipline: Project Management | Position: ALT - Back Up,Project manager,Ro_30_10_67,0.4648,-6.6976,"[{'title': 'Construction manager', 'code': 'Ro_70_65_15', 'ce_score': -8.597557067871094}, {'title': 'Management consultant', 'code': 'Ro_10_40_52', 'ce_score': -9.21219253540039}]",False
218,Acradis PAA Salary,Road Civil,Road Alignment North TOC,Classification: Acradis PAA Salary | Discipline: Road Civil | Position: Road Alignment North TOC,Highways engineer,Ro_50_20_41,0.4107,-9.6375,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -9.706029891967773}, {'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'ce_score': -10.037454605102539}]",False
219,Acradis PAA Salary,,,Classification: Acradis PAA Salary,Associate,Ro_10_10_05,0.3585,-11.1661,"[{'title': 'Chief financial officer', 'code': 'Ro_10_10_16', 'ce_score': -11.317482948303223}, {'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'ce_score': -11.327509880065918}]",False
220,Jacobs PAA Salary,Geotechnical,Geotechnical - Contam.,Classification: Jacobs PAA Salary | Discipline: Geotechnical | Position: Geotechnical - Contam.,Geotechnical engineer,Ro_50_20_37,0.6562,-3.2059,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'ce_score': -4.332516670227051}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -7.273043155670166}]",False
221,Jacobs PAA Salary,ITS (Surface),Surface ITS Package Lead,Classification: Jacobs PAA Salary | Discipline: ITS (Surface) | Position: Surface ITS Package Lead,Design lead,Ro_30_50_25,0.3908,-7.6693,"[{'title': 'Procurement manager', 'code': 'Ro_30_10_65', 'ce_score': -9.077640533447266}, {'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'ce_score': -9.661069869995117}]",False
222,Jacobs PAA Salary,Project Management,,Classification: Jacobs PAA Salary | Discipline: Project Management,Project manager,Ro_30_10_67,0.4986,-4.9261,"[{'title': 'Project lead', 'code': 'Ro_30_50_70', 'ce_score': -7.417068004608154}, {'title': 'Construction manager', 'code': 'Ro_70_65_15', 'ce_score': -7.507571220397949}]",False
223,Graduate Engineer,Project Management,Assistant Project Manager,Classification: Graduate Engineer | Discipline: Project Management | Position: Assistant Project Manager,Project manager,Ro_30_10_67,0.6862,-0.3657,"[{'title': 'Construction manager', 'code': 'Ro_70_65_15', 'ce_score': -2.732785701751709}, {'title': 'Manager', 'code': 'Ro_10_10_50', 'ce_score': -3.3920507431030273}]",False
224,Acradis PAA Salary,,,Classification: Acradis PAA Salary,Associate,Ro_10_10_05,0.3585,-11.1661,"[{'title': 'Chief financial officer', 'code': 'Ro_10_10_16', 'ce_score': -11.317482948303223}, {'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'ce_score': -11.327509880065918}]",False
225,Jacobs PAA Salary,ITS (Surface),ITS Engineer,Classification: Jacobs PAA Salary | Discipline: ITS (Surface) | Position: ITS Engineer,Structural engineer,Ro_50_20_83,0.4652,-7.3687,"[{'title': 'Civil engineer', 'code': 'Ro_50_20_11', 'ce_score': -7.72697639465332}, {'title': 'Mechanical services engineer', 'code': 'Ro_50_20_54', 'ce_score': -7.901797294616699}]",False
226,Acradis PAA Salary,ITS (Surface),ITS engineer,Classification: Acradis PAA Salary | Discipline: ITS (Surface) | Position: ITS engineer,Civil engineer,Ro_50_20_11,0.4421,-7.8274,"[{'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'ce_score': -8.096750259399414}, {'title': 'Commissioning engineer', 'code': 'Ro_30_10_17', 'ce_score': -8.385576248168945}]",False
227,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Principal accountable person,Ro_10_10_72,0.3297,-11.2572,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'ce_score': -11.281017303466797}, {'title': 'Public health engineer', 'code': 'Ro_50_20_68', 'ce_score': -11.292795181274414}]",False
228,Experienced engineer 3,,,Classification: Experienced engineer 3,Civil engineer,Ro_50_20_11,0.63,-7.0683,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -7.124818801879883}, {'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'ce_score': -7.366854667663574}]",False
229,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Principal accountable person,Ro_10_10_72,0.3297,-11.2572,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'ce_score': -11.281017303466797}, {'title': 'Public health engineer', 'code': 'Ro_50_20_68', 'ce_score': -11.292795181274414}]",False
230,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Principal accountable person,Ro_10_10_72,0.3297,-11.2572,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'ce_score': -11.281017303466797}, {'title': 'Public health engineer', 'code': 'Ro_50_20_68', 'ce_score': -11.292795181274414}]",False
231,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Principal accountable person,Ro_10_10_72,0.3297,-11.2572,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'ce_score': -11.281017303466797}, {'title': 'Public health engineer', 'code': 'Ro_50_20_68', 'ce_score': -11.292795181274414}]",False
232,Experienced engineer 1,,,Classification: Experienced engineer 1,Civil engineer,Ro_50_20_11,0.6118,-6.3052,"[{'title': 'Mechanical services engineer', 'code': 'Ro_50_20_54', 'ce_score': -6.715507507324219}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -6.729783058166504}]",False
233,Jacobs PAA Salary,Buildings,Electrical Lead,Classification: Jacobs PAA Salary | Discipline: Buildings | Position: Electrical Lead,Construction lead,Ro_30_50_19,0.3973,-5.8946,"[{'title': 'Building control officer', 'code': 'Ro_30_30_09', 'ce_score': -8.4116849899292}, {'title': 'Electrician', 'code': 'Ro_70_60_27', 'ce_score': -8.67242431640625}]",False
234,Jacobs PAA Salary,Road Civil,Road Engineer,Classification: Jacobs PAA Salary | Discipline: Road Civil | Position: Road Engineer,Civil engineer,Ro_50_20_11,0.5278,-5.1228,"[{'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'ce_score': -5.670561790466309}, {'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -6.4578962326049805}]",False
235,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Principal accountable person,Ro_10_10_72,0.3297,-11.2572,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'ce_score': -11.281017303466797}, {'title': 'Public health engineer', 'code': 'Ro_50_20_68', 'ce_score': -11.292795181274414}]",False
236,Principal drafter/modeller,,,Classification: Principal drafter/modeller,Principal,Ro_10_10_70,0.4118,-3.9638,"[{'title': 'Principal accountable person', 'code': 'Ro_10_10_72', 'ce_score': -5.849343299865723}, {'title': 'Importer', 'code': 'Ro_30_40_40', 'ce_score': -10.569780349731445}]",False
237,Acradis PAA Salary,Digital Engineering,Assistant CAD Manager,Classification: Acradis PAA Salary | Discipline: Digital Engineering | Position: Assistant CAD Manager,Digital engineer,Ro_50_20_26,0.5131,-4.2919,"[{'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'ce_score': -7.459959983825684}, {'title': 'Associate', 'code': 'Ro_10_10_05', 'ce_score': -7.634498119354248}]",False
238,Jacobs PAA Salary,Design Management,Zone Manager - Central (C3S),Classification: Jacobs PAA Salary | Discipline: Design Management | Position: Zone Manager - Central (C3S),Design manager,Ro_50_10_22,0.4594,-3.7682,"[{'title': 'Construction manager', 'code': 'Ro_70_65_15', 'ce_score': -7.349995136260986}, {'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'ce_score': -7.449936389923096}]",False
239,Graduate Engineer,,,Classification: Graduate Engineer,Civil engineer,Ro_50_20_11,0.6256,-4.8551,"[{'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'ce_score': -5.4145097732543945}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -5.6097187995910645}]",False
240,Acradis PAA Salary,Geotechnical,Geotechnical Engineer,Classification: Acradis PAA Salary | Discipline: Geotechnical | Position: Geotechnical Engineer,Geotechnical engineer,Ro_50_20_37,0.6688,-2.05,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'ce_score': -3.8657126426696777}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -6.524025917053223}]",False
241,Acradis PAA Salary,ITS (Surface),ITS Engineer,Classification: Acradis PAA Salary | Discipline: ITS (Surface) | Position: ITS Engineer,Civil engineer,Ro_50_20_11,0.4421,-7.8274,"[{'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'ce_score': -8.096750259399414}, {'title': 'Commissioning engineer', 'code': 'Ro_30_10_17', 'ce_score': -8.385576248168945}]",False
242,Jacobs PAA Salary,Drainage,Surface Water Quality & Water Treatment Engineer,Classification: Jacobs PAA Salary | Discipline: Drainage | Position: Surface Water Quality & Water Treatment Engineer,Drainage engineer,Ro_50_20_28,0.6155,-2.8303,"[{'title': 'Water services engineer', 'code': 'Ro_50_20_96', 'ce_score': -5.229345321655273}, {'title': 'Geotechnical engineer', 'code': 'Ro_50_20_37', 'ce_score': -6.4656596183776855}]",False
243,Jacobs PAA Salary,,Road Engineer - Central,Classification: Jacobs PAA Salary | Position: Road Engineer - Central,Highways engineer,Ro_50_20_41,0.4729,-5.4738,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -6.926004886627197}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -7.87591552734375}]",False
244,Acradis PAA Salary,Project Management,Project Engineer/Administrator,Classification: Acradis PAA Salary | Discipline: Project Management | Position: Project Engineer/Administrator,Project manager,Ro_30_10_67,0.4829,-3.6018,"[{'title': 'Management consultant', 'code': 'Ro_10_40_52', 'ce_score': -6.269306182861328}, {'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'ce_score': -6.402742385864258}]",False
245,Acradis PAA Salary,Drainage,Drainage and Flooding Assistant Discipline Lead,Classification: Acradis PAA Salary | Discipline: Drainage | Position: Drainage and Flooding Assistant Discipline Lead,Drainage engineer,Ro_50_20_28,0.5144,-4.2375,"[{'title': 'Flood and coastal risk management officer', 'code': 'Ro_30_30_29', 'ce_score': -5.562451362609863}, {'title': 'Water services engineer', 'code': 'Ro_50_20_96', 'ce_score': -7.567919731140137}]",False
246,Jacobs PAA Salary,Building Structures,Building Structures SME,Classification: Jacobs PAA Salary | Discipline: Building Structures | Position: Building Structures SME,Building surveyor,Ro_70_10_11,0.5102,-6.8403,"[{'title': 'Building services engineer', 'code': 'Ro_50_20_08', 'ce_score': -6.898618698120117}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -6.956205368041992}]",False
247,Jacobs PAA Salary,ITS (Surface),BMI Lead SME,Classification: Jacobs PAA Salary | Discipline: ITS (Surface) | Position: BMI Lead SME,Construction lead,Ro_30_50_19,0.3911,-8.8136,"[{'title': 'Asset management lead', 'code': 'Ro_30_50_04', 'ce_score': -8.813581466674805}, {'title': 'Design lead', 'code': 'Ro_30_50_25', 'ce_score': -9.122743606567383}]",False
248,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Principal accountable person,Ro_10_10_72,0.3297,-11.2572,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'ce_score': -11.281017303466797}, {'title': 'Public health engineer', 'code': 'Ro_50_20_68', 'ce_score': -11.292795181274414}]",False
249,Design Discipline Lead/ SME,,MCA Development,Classification: Design Discipline Lead/ SME | Position: MCA Development,Design lead,Ro_30_50_25,0.6231,-2.4066,"[{'title': 'Design manager', 'code': 'Ro_50_10_22', 'ce_score': -6.592137336730957}, {'title': 'Project lead', 'code': 'Ro_30_50_70', 'ce_score': -7.082050323486328}]",False
250,Design Discipline Lead/ SME,Durability,Durability,Classification: Design Discipline Lead/ SME | Discipline: Durability | Position: Durability,Design lead,Ro_30_50_25,0.6068,-1.6041,"[{'title': 'Construction lead', 'code': 'Ro_30_50_19', 'ce_score': -5.865962505340576}, {'title': 'Project lead', 'code': 'Ro_30_50_70', 'ce_score': -6.513374328613281}]",False
251,Senior Associate,Durability,Durability,Classification: Senior Associate | Discipline: Durability | Position: Durability,Associate,Ro_10_10_05,0.4378,-4.2436,"[{'title': 'Principal', 'code': 'Ro_10_10_70', 'ce_score': -8.032398223876953}, {'title': 'Reliability engineer', 'code': 'Ro_50_20_72', 'ce_score': -8.305747032165527}]",False
252,Experienced engineer 2,,,Classification: Experienced engineer 2,Civil engineer,Ro_50_20_11,0.6048,-7.0838,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -7.219235420227051}, {'title': 'Mechanical services engineer', 'code': 'Ro_50_20_54', 'ce_score': -7.512242317199707}]",False
253,Senior Associate,Durability,Principal Structural Engineer,Classification: Senior Associate | Discipline: Durability | Position: Principal Structural Engineer,Structural engineer,Ro_50_20_83,0.6861,-1.2331,"[{'title': 'Principal designer', 'code': 'Ro_30_30_68', 'ce_score': -4.013291358947754}, {'title': 'Building services engineer', 'code': 'Ro_50_20_08', 'ce_score': -5.593022346496582}]",False
254,Associate,Durability,Principal Civil Engineer - Durability,Classification: Associate | Discipline: Durability | Position: Principal Civil Engineer - Durability,Civil engineer,Ro_50_20_11,0.6037,-3.5932,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -6.9821906089782715}, {'title': 'Reliability engineer', 'code': 'Ro_50_20_72', 'ce_score': -7.598223686218262}]",False
255,Senior Engineer,,,Classification: Senior Engineer,Civil engineer,Ro_50_20_11,0.6173,-4.7583,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -4.8610992431640625}, {'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'ce_score': -5.461803436279297}]",False
256,Experienced engineer 2,Durability,Durability,Classification: Experienced engineer 2 | Discipline: Durability | Position: Durability,Reliability engineer,Ro_50_20_72,0.5506,-5.891,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -6.949949741363525}, {'title': 'Civil engineer', 'code': 'Ro_50_20_11', 'ce_score': -7.26132869720459}]",False
257,Experienced engineer 2,,,Classification: Experienced engineer 2,Civil engineer,Ro_50_20_11,0.6048,-7.0838,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -7.219235420227051}, {'title': 'Mechanical services engineer', 'code': 'Ro_50_20_54', 'ce_score': -7.512242317199707}]",False
258,Engineer 1,Durability,Durability Consultant,Classification: Engineer 1 | Discipline: Durability | Position: Durability Consultant,Reliability engineer,Ro_50_20_72,0.5644,-4.2784,"[{'title': 'Mechanical services engineer', 'code': 'Ro_50_20_54', 'ce_score': -5.763640880584717}, {'title': 'Civil engineer', 'code': 'Ro_50_20_11', 'ce_score': -5.851860046386719}]",False
259,Graduate Engineer,,,Classification: Graduate Engineer,Civil engineer,Ro_50_20_11,0.6256,-4.8551,"[{'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'ce_score': -5.4145097732543945}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -5.6097187995910645}]",False
260,Acradis PAA Salary,Project Management,Arcadis Mobilisation Manager / Project Admin,Classification: Acradis PAA Salary | Discipline: Project Management | Position: Arcadis Mobilisation Manager / Project Admin,Project manager,Ro_30_10_67,0.5168,-4.8108,"[{'title': 'Management consultant', 'code': 'Ro_10_40_52', 'ce_score': -7.542326927185059}, {'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'ce_score': -7.547255992889404}]",False
261,Jacobs PAA Salary,Road Civil,,Classification: Jacobs PAA Salary | Discipline: Road Civil,Civil engineer,Ro_50_20_11,0.4013,-9.3452,"[{'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'ce_score': -10.221565246582031}, {'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -10.344755172729492}]",False
262,,,,,President,Ro_10_10_65,0.3849,-0.2601,"[{'title': 'Client', 'code': 'Ro_10_20_14', 'ce_score': -1.2956622838974}, {'title': 'Lawyer', 'code': 'Ro_10_10_46', 'ce_score': -1.3929479122161865}]",False
263,Jacobs PAA Salary,Tunnels,Tunnel Engineer,Classification: Jacobs PAA Salary | Discipline: Tunnels | Position: Tunnel Engineer,Tunnel engineer,Ro_50_20_91,0.6445,-2.4116,"[{'title': 'Bridge engineer', 'code': 'Ro_50_20_06', 'ce_score': -5.697994232177734}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -5.919788360595703}]",False
264,Jacobs PAA Salary,Tunnels,Tunnel Engineer,Classification: Jacobs PAA Salary | Discipline: Tunnels | Position: Tunnel Engineer,Tunnel engineer,Ro_50_20_91,0.6445,-2.4116,"[{'title': 'Bridge engineer', 'code': 'Ro_50_20_06', 'ce_score': -5.697994232177734}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -5.919788360595703}]",False
265,Experienced engineer 1,,,Classification: Experienced engineer 1,Civil engineer,Ro_50_20_11,0.6118,-6.3052,"[{'title': 'Mechanical services engineer', 'code': 'Ro_50_20_54', 'ce_score': -6.715507507324219}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -6.729783058166504}]",False
266,Graduate Engineer,,,Classification: Graduate Engineer,Civil engineer,Ro_50_20_11,0.6256,-4.8551,"[{'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'ce_score': -5.4145097732543945}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -5.6097187995910645}]",False
267,OS Experienced Engineer,,,Classification: OS Experienced Engineer,Electronics engineer,Ro_50_20_31,0.5849,-5.0351,"[{'title': 'Mechanical services engineer', 'code': 'Ro_50_20_54', 'ce_score': -5.472691535949707}, {'title': 'Systems engineer', 'code': 'Ro_50_20_86', 'ce_score': -6.317645072937012}]",False
268,OS Experienced Engineer,,,Classification: OS Experienced Engineer,Electronics engineer,Ro_50_20_31,0.5849,-5.0351,"[{'title': 'Mechanical services engineer', 'code': 'Ro_50_20_54', 'ce_score': -5.472691535949707}, {'title': 'Systems engineer', 'code': 'Ro_50_20_86', 'ce_score': -6.317645072937012}]",False
269,OS Senior Engineer,Structures,Engineer,Classification: OS Senior Engineer | Discipline: Structures | Position: Engineer,Structural engineer,Ro_50_20_83,0.611,-3.0017,"[{'title': 'Civil engineer', 'code': 'Ro_50_20_11', 'ce_score': -5.78702449798584}, {'title': 'Mechanical services engineer', 'code': 'Ro_50_20_54', 'ce_score': -5.827759265899658}]",False
270,Arcadis GEC,Road Design,Road Design - Permanent Works,Classification: Arcadis GEC | Discipline: Road Design | Position: Road Design - Permanent Works,Architectural designer,Ro_50_10_04,0.4529,-7.8426,"[{'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'ce_score': -7.919620513916016}, {'title': 'Architect', 'code': 'Ro_50_10_03', 'ce_score': -8.30549430847168}]",False
271,OS Experienced Engineer,,,Classification: OS Experienced Engineer,Electronics engineer,Ro_50_20_31,0.5849,-5.0351,"[{'title': 'Mechanical services engineer', 'code': 'Ro_50_20_54', 'ce_score': -5.472691535949707}, {'title': 'Systems engineer', 'code': 'Ro_50_20_86', 'ce_score': -6.317645072937012}]",False
272,OS Experienced Engineer,,,Classification: OS Experienced Engineer,Electronics engineer,Ro_50_20_31,0.5849,-5.0351,"[{'title': 'Mechanical services engineer', 'code': 'Ro_50_20_54', 'ce_score': -5.472691535949707}, {'title': 'Systems engineer', 'code': 'Ro_50_20_86', 'ce_score': -6.317645072937012}]",False
273,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Principal accountable person,Ro_10_10_72,0.3297,-11.2572,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'ce_score': -11.281017303466797}, {'title': 'Public health engineer', 'code': 'Ro_50_20_68', 'ce_score': -11.292795181274414}]",False
274,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Principal accountable person,Ro_10_10_72,0.3297,-11.2572,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'ce_score': -11.281017303466797}, {'title': 'Public health engineer', 'code': 'Ro_50_20_68', 'ce_score': -11.292795181274414}]",False
275,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Principal accountable person,Ro_10_10_72,0.3297,-11.2572,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'ce_score': -11.281017303466797}, {'title': 'Public health engineer', 'code': 'Ro_50_20_68', 'ce_score': -11.292795181274414}]",False
